ds,y
2022-03-07,100
2022-03-08,105
2022-03-09,110
2022-03-10,115
2022-03-11,120
2022-03-12,125
2022-03-13,130
2022-03-14,135
2022-03-15,140
2022-03-16,145
2022-03-17,150
2022-03-18,155
2022-03-19,160
2022-03-20,165
2022-03-21,170
2022-03-22,175
2022-03-23,180
2022-03-24,185
2022-03-25,190
2022-03-26,195
2022-03-27,200
2022-03-28,205
2022-03-29,210
2022-03-30,215
2022-03-31,220
2022-04-01,225
2022-04-02,230
2022-04-03,235
2022-04-04,240
2022-04-05,245
2022-04-06,250
2022-04-07,255
2022-04-08,260
2022-04-09,265
2022-04-10,270
2022-04-11,275
2022-04-12,280
2022-04-13,285
2022-04-14,290
2022-04-15,295
2022-04-16,300
2022-04-17,305
2022-04-18,310
2022-04-19,315
2022-04-20,320
2022-04-21,325
2022-04-22,330
2022-04-23,335
2022-04-24,340
2022-04-25,345
2022-04-26,350
2022-04-27,355
2022-04-28,360
2022-04-29,365
2022-04-30,370
2022-05-01,375
2022-05-02,380
2022-05-03,385
2022-05-04,390
2022-05-05,395
2022-05-06,400
2022-05-07,405
2022-05-08,410
2022-05-09,415
2022-05-10,420
2022-05-11,425
2022-05-12,430
2022-05-13,435
2022-05-14,440
2022-05-15,445
2022-05-16,450
2022-05-17,455
2022-05-18,460
2022-05-19,465
2022-05-20,470
2022-05-21,475
2022-05-22,480
2022-05-23,485
2022-05-24,490
2022-05-25,495
2022-05-26,500
2022-05-27,505
2022-05-28,510
2022-05-29,515
2022-05-30,520
2022-05-31,525
2022-06-01,530
2022-06-02,535
2022-06-03,540
2022-06-04,545
2022-06-05,550
2022-06-06,555
2022-06-07,560
2022-06-08,565
2022-06-09,570
2022-06-10,575
2022-06-11,580
2022-06-12,585
2022-06-13,590
